crop,year,yield_t_ha
blackgram,2014,0.776
blackgram,2015,0.6242
blackgram,2016,0.9486
blackgram,2017,0.8349
blackgram,2018,0.799
blackgram,2019,0.8167
blackgram,2020,0.8056
blackgram,2021,0.8023
blackgram,2022,0.8122
blackgram,2023,0.8091
blackgram,2024,0.8057
chickpea,1961,0.5514
chickpea,1962,0.5215
chickpea,1963,0.556
chickpea,1964,0.5476
chickpea,1965,0.5548
chickpea,1966,0.5044
chickpea,1967,0.5104
chickpea,1968,0.4289
chickpea,1969,0.5509
chickpea,1970,0.5453
chickpea,1971,0.5404
chickpea,1972,0.5291
chickpea,1973,0.5443
chickpea,1974,0.5514
chickpea,1975,0.5521
chickpea,1976,0.5629
chickpea,1977,0.5933
chickpea,1978,0.5582
chickpea,1979,0.4392
chickpea,1980,0.2777
chickpea,1981,0.3997
chickpea,1982,0.3258
chickpea,1983,0.5499
chickpea,1984,0.5675
chickpea,1985,0.5166
chickpea,1986,0.5673
chickpea,1987,0.4556
chickpea,1988,0.4527
chickpea,1989,0.4656
chickpea,1990,0.5427
chickpea,1991,0.4865
chickpea,1992,0.5144
chickpea,1993,0.3447
chickpea,1994,0.393
chickpea,1995,0.5247
chickpea,1996,0.6074
chickpea,1997,0.5403
chickpea,1998,0.6959
chickpea,1999,0.6481
chickpea,2000,0.5809
chickpea,2001,0.4387
chickpea,2002,0.3877
chickpea,2003,0.7011
chickpea,2004,0.6221
chickpea,2005,0.7938
chickpea,2006,0.466
chickpea,2007,0.7964
chickpea,2008,0.4288
chickpea,2009,0.6856
chickpea,2010,0.5263
chickpea,2011,0.4707
chickpea,2012,0.2822
chickpea,2013,0.7573
chickpea,2014,0.4202
chickpea,2015,0.4023
chickpea,2016,0.3046
chickpea,2017,0.3396
chickpea,2018,0.3311
chickpea,2019,0.4735
chickpea,2020,0.5272
chickpea,2021,0.265
chickpea,2022,0.3669
chickpea,2023,0.2891
chickpea,2024,0.2624
coconut,1980,2.1591
coconut,1981,2.4805
coconut,1982,2.3253
coconut,1983,2.2442
coconut,1984,1.902
coconut,1985,1.8667
coconut,1986,1.56
coconut,1987,1.9506
coconut,1988,1.7733
coconut,1989,1.7649
coconut,1990,1.9317
coconut,1991,2.3604
coconut,1992,2.989
coconut,1993,3.4646
coconut,1994,4.1598
coconut,1995,4.0
coconut,1996,6.0173
coconut,1997,8.6861
coconut,1998,8.5842
coconut,1999,8.638
coconut,2000,5.4172
coconut,2001,5.4104
coconut,2002,5.566
coconut,2003,5.441
coconut,2004,5.4222
coconut,2005,5.4531
coconut,2006,5.4676
coconut,2007,7.4416
coconut,2008,7.6067
