crop,year,yield_t_ha
pigeonpeas,1972,0.6112
pigeonpeas,1973,0.5846
pigeonpeas,1974,0.6278
pigeonpeas,1975,0.558
pigeonpeas,1976,1.004
pigeonpeas,1977,0.5647
pigeonpeas,1978,0.6543
pigeonpeas,1979,0.5226
pigeonpeas,1980,0.5357
pigeonpeas,1981,0.5357
pigeonpeas,1982,0.5439
pigeonpeas,1983,0.5517
pigeonpeas,1984,0.5517
pigeonpeas,1985,0.6257
pigeonpeas,1986,0.6456
pigeonpeas,1987,0.6282
pigeonpeas,1988,0.6236
pigeonpeas,1989,0.625
pigeonpeas,1990,0.6667
pigeonpeas,1999,0.7014
pigeonpeas,2000,0.7155
pigeonpeas,2001,0.7317
pigeonpeas,2002,0.7504
pigeonpeas,2003,0.7722
pigeonpeas,2004,0.7981
pigeonpeas,2005,0.8061
pigeonpeas,2007,0.7094
pigeonpeas,2008,0.6642
pigeonpeas,2009,0.6635
pigeonpeas,2010,0.6635
pigeonpeas,2011,0.6635
pigeonpeas,2012,0.6635
pigeonpeas,2013,0.6635
pigeonpeas,2014,0.7031
pigeonpeas,2015,0.7336
pigeonpeas,2016,0.6987
pigeonpeas,2017,0.7305
pigeonpeas,2018,0.6998
pigeonpeas,2019,0.7307
pigeonpeas,2020,0.702
pigeonpeas,2021,0.7107
pigeonpeas,2022,0.7144
pigeonpeas,2023,0.709
pigeonpeas,2024,0.7114
pomegranate,2021,3.88
potato,1961,7.4533
potato,1962,9.2754
potato,1963,9.0692
potato,1964,9.0733
potato,1965,9.2849
potato,1966,9.0235
potato,1967,8.8211
potato,1968,9.3564
potato,1969,10.9606
potato,1970,10.5176
potato,1971,11.3168
potato,1972,11.0448
potato,1973,10.3562
potato,1974,10.1714
potato,1975,10.4552
potato,1976,11.2213
potato,1977,12.3453
potato,1978,9.8543
potato,1979,10.4085
potato,1980,10.4545
potato,1981,10.3763
potato,1982,10.5291
potato,1983,10.0528
potato,1984,10.2815
potato,1985,9.9668
potato,1986,9.8245
potato,1987,9.8149
potato,1988,9.6911
potato,1989,10.0908
potato,1990,10.4002
potato,1991,10.4452
potato,1992,11.3709
potato,1993,12.2809
potato,1994,13.3171
potato,1995,13.9418
potato,1996,13.4795
potato,1997,11.2295
potato,1998,13.6186
potato,1999,16.5413
potato,2000,16.9078
potato,2001,16.418
potato,2002,16.4486
potato,2003,16.8028
potato,2004,17.6673
potato,2005,18.0795
potato,2006,13.3447
potato,2007,19.3516
potato,2008,16.455
potato,2009,20.2848
potato,2010,22.6823
potato,2011,21.9196
potato,2012,18.3405
potato,2013,21.8059
potato,2014,18.1506
potato,2015,23.4439
potato,2016,22.4346
potato,2017,21.4503
potato,2018,23.6699
potato,2019,24.8874
potato,2020,24.5612
potato,2021,25.0637
potato,2022,25.2666
potato,2023,24.4285
potato,2024,24.9011
rapeseed,1961,0.4296
rapeseed,1962,0.4552
rapeseed,1963,0.5198
rapeseed,1964,0.4452
rapeseed,1965,0.441
rapeseed,1966,0.4119
rapeseed,1967,0.442
rapeseed,1968,0.5059
rapeseed,1969,0.5155
rapeseed,1970,0.5238
rapeseed,1971,0.528
rapeseed,1972,0.535
rapeseed,1973,0.5374
rapeseed,1974,0.5462
rapeseed,1975,0.5492
rapeseed,1976,0.5686
rapeseed,1977,0.5713
rapeseed,1978,0.5726
rapeseed,1979,0.5732
rapeseed,1980,0.6036
rapeseed,1981,0.6055
rapeseed,1982,0.6109
rapeseed,1983,0.6381
rapeseed,1984,0.6926
rapeseed,1985,0.6769
rapeseed,1986,0.7128
rapeseed,1987,0.7041
rapeseed,1988,0.7594
rapeseed,1989,0.7464
rapeseed,1990,0.759
rapeseed,1991,0.7522
rapeseed,1992,0.7668
rapeseed,1993,0.727
rapeseed,1994,0.7352
rapeseed,1995,0.7631
rapeseed,1996,0.7963
rapeseed,1997,0.807
rapeseed,1998,0.8586
rapeseed,1999,0.8421
rapeseed,2000,0.901
rapeseed,2001,0.8475
rapeseed,2002,0.8226
rapeseed,2003,0.8375
rapeseed,2004,0.851
rapeseed,2005,0.8363
rapeseed,2006,0.7954
rapeseed,2007,0.8315
rapeseed,2008,0.789
rapeseed,2009,0.8122
rapeseed,2010,0.8519
rapeseed,2011,0.8855
rapeseed,2012,0.8297
rapeseed,2013,0.9224
rapeseed,2014,0.9341
rapeseed,2015,0.9261
rapeseed,2016,0.9318
rapeseed,2017,0.9606
rapeseed,2018,1.1662
rapeseed,2019,1.2969
rapeseed,2020,1.4033
rapeseed,2021,1.3447
rapeseed,2022,1.4841
rapeseed,2023,1.1684
rapeseed,2024,1.1127
rice,1961,1.3915
rice,1962,1.3856
rice,1963,1.3902
rice,1964,1.4937
rice,1965,1.4174
rice,1966,1.4523
rice,1967,1.5835
rice,1968,1.9604
rice,1969,2.2201
rice,1970,2.1939
rice,1971,2.3293
rice,1972,2.3624
rice,1973,2.4353
rice,1974,2.1632
rice,1975,2.2964
rice,1976,2.3472
rice,1977,2.3297
rice,1978,2.423
rice,1979,2.371
rice,1980,2.4235
rice,1981,2.6035
rice,1982,2.6121
rice,1983,2.5065
rice,1984,2.4883
rice,1985,2.3499
rice,1986,2.532
rice,1987,2.4765
rice,1988,2.3511
rice,1989,2.2925
rice,1990,2.3151
rice,1991,2.3199
rice,1992,2.3686
rice,1993,2.7397
rice,1994,2.4333
rice,1995,2.7522
rice,1996,2.8685
rice,1997,2.8048
rice,1998,2.893
rice,1999,3.0744
rice,2000,3.0312
rice,2001,2.7542
rice,2002,3.0192
rice,2003,2.9551
rice,2004,2.9914
rice,2005,3.1742
rice,2006,3.1604
rice,2007,3.3176
rice,2008,3.5199
rice,2009,3.5809
rice,2010,3.0588
rice,2011,3.5939
rice,2012,3.5966
rice,2013,3.7528
rice,2014,3.6339
rice,2015,3.724
rice,2016,3.7716
rice,2017,3.8526
rice,2018,3.8427
rice,2019,3.6653
rice,2020,3.7863
rice,2021,3.9532
rice,2022,3.6903
rice,2023,4.0662
rice,2024,3.7406
sorghum,1961,0.4834
sorghum,1962,0.5165
sorghum,1963,0.5096
sorghum,1964,0.5009
sorghum,1965,0.4613
sorghum,1966,0.4964
sorghum,1967,0.4983
sorghum,1968,0.5539
sorghum,1969,0.5776
sorghum,1970,0.5896
sorghum,1971,0.6154
sorghum,1972,0.6033
sorghum,1973,0.6415
sorghum,1974,0.5965
sorghum,1975,0.5905
sorghum,1976,0.5847
sorghum,1977,0.5469
sorghum,1978,0.5379
sorghum,1979,0.5883
sorghum,1980,0.584
sorghum,1981,0.5722
sorghum,1982,0.5694
sorghum,1983,0.5683
sorghum,1984,0.5836
sorghum,1985,0.587
sorghum,1986,0.5899
sorghum,1987,0.5647
sorghum,1988,0.5754
sorghum,1989,0.5959
sorghum,1990,0.5736
sorghum,1991,0.5866
sorghum,1992,0.591
sorghum,1993,0.5821
sorghum,1994,0.6011
sorghum,1995,0.6099
sorghum,1996,0.5931
sorghum,1997,0.5926
sorghum,1998,0.5952
sorghum,1999,0.6167
sorghum,2000,0.6179
sorghum,2001,0.6197
sorghum,2002,0.5989
sorghum,2003,0.6066
sorghum,2004,0.6062
sorghum,2005,0.5998
sorghum,2006,0.6156
sorghum,2007,0.6045
sorghum,2008,0.6262
sorghum,2009,0.6204
sorghum,2010,0.6171
sorghum,2011,0.6417
sorghum,2012,0.6203
sorghum,2013,0.5987
sorghum,2014,0.5885
sorghum,2015,0.5865
sorghum,2016,0.5789
sorghum,2017,0.5979
sorghum,2018,0.6162
sorghum,2019,0.6056
sorghum,2020,0.7643
sorghum,2021,0.8355
sorghum,2022,0.819
sorghum,2023,0.8276
sorghum,2024,0.8274
soybean,1961,0.45
soybean,1962,0.45
soybean,1963,0.45
soybean,1964,0.4545
soybean,1965,0.4583
soybean,1966,0.4583
soybean,1967,0.4643
soybean,1968,0.4688
soybean,1969,0.4722
soybean,1970,0.45
soybean,1971,0.3798
soybean,1972,0.4895
soybean,1973,0.4357
soybean,1974,0.4557
soybean,1975,0.4629
soybean,1976,0.4838
soybean,1977,0.37
soybean,1978,0.4231
soybean,1979,0.5106
soybean,1980,0.3776
soybean,1981,0.4244
soybean,1982,0.4159
soybean,1983,0.3292
soybean,1984,0.3518
soybean,1985,0.3594
soybean,1986,0.4747
soybean,1987,0.6313
soybean,1988,0.5533
soybean,1989,0.5152
soybean,1990,0.5679
soybean,1991,0.4992
soybean,1992,0.6051
soybean,1993,0.5681
soybean,1994,0.8011
soybean,1995,1.2021
soybean,1996,1.2636
soybean,1997,1.2942
soybean,1998,1.2959
soybean,1999,1.5078
soybean,2000,1.216
soybean,2001,1.1134
soybean,2002,1.2647
soybean,2003,1.1818
soybean,2004,1.245
soybean,2005,1.2
soybean,2006,1.1287
soybean,2007,0.5818
soybean,2008,0.5918
soybean,2009,0.6078
soybean,2010,0.573
soybean,2011,0.6953
soybean,2012,0.7901
soybean,2013,0.7222
soybean,2014,0.75
soybean,2015,0.5366
soybean,2016,0.8511
soybean,2017,0.7308
soybean,2018,1.037
soybean,2019,0.8824
soybean,2020,1.1105
soybean,2021,0.8727
soybean,2022,0.6429
soybean,2023,0.6364
soybean,2024,0.6
sugarcane,1961,29.9923
sugarcane,1962,32.3131
sugarcane,1963,34.7232
sugarcane,1964,33.799
sugarcane,1965,37.1113
sugarcane,1966,37.3504
sugarcane,1967,33.8448
sugarcane,1968,37.0365
sugarcane,1969,40.6344
sugarcane,1970,42.5315
sugarcane,1971,36.4261
sugarcane,1972,36.1394
sugarcane,1973,37.3961
sugarcane,1974,37.0418
sugarcane,1975,31.5717
sugarcane,1976,36.5041
sugarcane,1977,37.4739
sugarcane,1978,36.5673
sugarcane,1979,36.313
sugarcane,1980,38.271
sugarcane,1981,39.2378
sugarcane,1982,38.6392
sugarcane,1983,35.6844
sugarcane,1984,38.2457
sugarcane,1985,35.5684
sugarcane,1986,35.7224
sugarcane,1987,57.2283
sugarcane,1988,39.2452
sugarcane,1989,42.1664
sugarcane,1990,41.547
sugarcane,1991,40.7204
sugarcane,1992,43.3712
sugarcane,1993,43.0238
sugarcane,1994,46.1435
sugarcane,1995,46.7477
sugarcane,1996,46.9626
sugarcane,1997,43.5442
sugarcane,1998,50.2785
sugarcane,1999,47.7804
sugarcane,2000,45.8829
sugarcane,2001,45.3854
sugarcane,2002,48.056
sugarcane,2003,47.3407
sugarcane,2004,50.0884
sugarcane,2005,48.8867
sugarcane,2006,49.229
sugarcane,2007,53.2092
sugarcane,2008,51.4944
sugarcane,2009,48.6161
sugarcane,2010,52.3684
sugarcane,2011,55.9973
sugarcane,2012,55.2165
sugarcane,2013,57.5425
sugarcane,2014,55.0872
sugarcane,2015,57.8734
sugarcane,2016,61.9973
sugarcane,2017,62.1061
sugarcane,2018,60.9594
sugarcane,2019,63.8407
sugarcane,2020,69.5341
sugarcane,2021,70.3414
sugarcane,2022,66.7112
sugarcane,2023,74.2516
sugarcane,2024,70.6026
sweet_potato,1961,10.7692
sweet_potato,1962,10.7143
sweet_potato,1963,10.6667
sweet_potato,1964,11.25
sweet_potato,1965,11.25
sweet_potato,1966,11.1765
sweet_potato,1967,11.1765
sweet_potato,1968,11.1111
sweet_potato,1969,11.6667
sweet_potato,1970,11.5789
sweet_potato,1971,12.1053
sweet_potato,1972,12.0
sweet_potato,1973,13.0
sweet_potato,1974,14.0
sweet_potato,1975,14.0854
sweet_potato,1976,14.1286
sweet_potato,1977,15.4615
sweet_potato,1978,15.7465
sweet_potato,1979,16.3786
sweet_potato,1980,14.6121
sweet_potato,1981,14.1415
sweet_potato,1982,14.6788
sweet_potato,1983,16.0212
sweet_potato,1984,15.1693
sweet_potato,1985,15.025
sweet_potato,1986,14.0909
sweet_potato,1987,11.5362
sweet_potato,1988,11.4632
sweet_potato,1989,10.3021
sweet_potato,1990,9.2141
sweet_potato,1991,10.119
sweet_potato,1992,10.4368
sweet_potato,1993,9.8171
sweet_potato,1994,9.9148
sweet_potato,1995,10.0688
sweet_potato,1996,10.5177
sweet_potato,1997,10.4716
sweet_potato,1998,10.8413
sweet_potato,1999,11.2339
sweet_potato,2000,10.9771
sweet_potato,2001,10.4168
sweet_potato,2002,10.0385
sweet_potato,2003,10.7545
sweet_potato,2004,11.3473
sweet_potato,2005,11.2584
sweet_potato,2006,11.8514
sweet_potato,2007,11.4454
sweet_potato,2008,11.1477
sweet_potato,2009,11.4254
sweet_potato,2010,10.9417
sweet_potato,2011,9.9623
sweet_potato,2012,8.6553
sweet_potato,2013,8.8711
sweet_potato,2014,8.5302
sweet_potato,2015,7.8849
sweet_potato,2016,8.0735
sweet_potato,2017,8.0581
sweet_potato,2018,7.9672
sweet_potato,2019,9.4568
sweet_potato,2020,8.0357
sweet_potato,2021,8.8134
sweet_potato,2022,8.6341
sweet_potato,2023,10.0655
sweet_potato,2024,3.9337
tomato,1980,7.8654
tomato,1981,7.9594
tomato,1982,8.1523
tomato,1983,8.5076
tomato,1984,9.0
tomato,1985,9.1717
tomato,1986,9.5093
tomato,1987,9.3843
tomato,1988,9.546
tomato,1989,9.7275
tomato,1990,9.9888
tomato,1991,10.2488
tomato,1992,10.5706
tomato,1993,10.542
tomato,1994,10.4808
tomato,1995,10.7516
tomato,1996,10.8387
tomato,1997,10.8404
tomato,1998,10.9455
tomato,1999,10.965
tomato,2000,9.6289
tomato,2001,9.6318
tomato,2002,10.0103
tomato,2003,9.894
tomato,2004,10.5954
tomato,2005,10.4392
tomato,2006,10.1245
tomato,2007,10.6764
tomato,2008,10.0887
tomato,2009,10.5237
tomato,2010,9.538
tomato,2011,10.1368
tomato,2012,10.0988
tomato,2013,9.8641
tomato,2014,9.5279
tomato,2015,9.3297
tomato,2016,9.3876
tomato,2017,9.3897
tomato,2018,9.4412
tomato,2019,10.1577
tomato,2020,10.2737
tomato,2021,11.7704
tomato,2022,11.8887
tomato,2023,11.0761
tomato,2024,11.8838
watermelon,1961,19.0323
watermelon,1962,19.1045
watermelon,1963,18.871
watermelon,1964,18.9063
watermelon,1965,19.0
watermelon,1966,19.0141
watermelon,1967,19.125
watermelon,1968,19.0299
watermelon,1969,19.0909
watermelon,1970,18.9623
watermelon,1971,18.9831
watermelon,1972,19.0076
watermelon,1973,19.0
watermelon,1974,19.0278
watermelon,1975,19.021
watermelon,1976,19.0625
watermelon,1977,18.9286
watermelon,1978,19.0244
watermelon,1979,18.9474
watermelon,1980,19.7497
watermelon,1981,18.8684
watermelon,1982,18.9484
watermelon,1983,21.5373
watermelon,1984,19.1519
watermelon,1985,19.7312
watermelon,1986,19.2281
watermelon,1987,19.7382
watermelon,1988,19.2853
watermelon,1989,20.1093
watermelon,1990,19.6034
watermelon,1991,19.8057
watermelon,1992,19.5454
watermelon,1993,19.6336
watermelon,1994,19.1755
watermelon,1995,19.5652
watermelon,1996,18.8
watermelon,1997,18.1481
watermelon,1998,17.1646
watermelon,1999,17.1101
watermelon,2000,15.9474
watermelon,2001,16.0998
watermelon,2002,16.7583
watermelon,2003,16.3315
watermelon,2004,15.0067
watermelon,2005,15.5075
watermelon,2006,14.2219
watermelon,2007,13.1233
watermelon,2008,14.7463
watermelon,2009,14.666
watermelon,2010,14.733
watermelon,2011,14.4385
watermelon,2012,15.0093
watermelon,2013,14.4884
watermelon,2014,14.6405
watermelon,2015,14.4848
watermelon,2016,14.3899
watermelon,2017,14.6877
watermelon,2018,15.5398
watermelon,2019,39.3657
watermelon,2020,43.3568
watermelon,2021,39.7225
watermelon,2022,38.7738
watermelon,2023,36.9212
watermelon,2024,36.2603
wheat,1961,0.8222
wheat,1962,0.8178
wheat,1963,0.8303
wheat,1964,0.8292
wheat,1965,0.8631
wheat,1966,0.7597
wheat,1967,0.811
wheat,1968,1.0727
wheat,1969,1.0744
wheat,1970,1.171
wheat,1971,1.0833
wheat,1972,1.1887
wheat,1973,1.2465
wheat,1974,1.248
wheat,1975,1.3202
wheat,1976,1.4222
wheat,1977,1.431
wheat,1978,1.3156
wheat,1979,1.4879
wheat,1980,1.568
wheat,1981,1.6431
wheat,1982,1.5651
wheat,1983,1.6781
wheat,1984,1.4819
wheat,1985,1.6123
wheat,1986,1.8806
wheat,1987,1.5593
wheat,1988,1.7343
wheat,1989,1.8655
wheat,1990,1.8249
wheat,1991,1.841
wheat,1992,1.991
wheat,1993,1.9466
wheat,1994,1.8935
wheat,1995,2.0811
wheat,1996,2.0184
wheat,1997,2.0533
wheat,1998,2.2376
wheat,1999,2.1698
wheat,2000,2.4907
wheat,2001,2.3254
wheat,2002,2.2621
wheat,2003,2.3878
wheat,2004,2.3733
wheat,2005,2.5858
wheat,2006,2.5186
wheat,2007,2.7156
wheat,2008,2.4514
wheat,2009,2.6568
wheat,2010,2.5528
wheat,2011,2.8328
wheat,2012,2.7138
wheat,2013,2.7957
wheat,2014,2.8241
wheat,2015,2.7256
wheat,2016,2.779
wheat,2017,2.9729
wheat,2018,2.8505
wheat,2019,2.8059
wheat,2020,2.8675
wheat,2021,2.9956
wheat,2022,2.9196
wheat,2023,3.1176
wheat,2024,3.2683
